# findings: reviewed rows for StorageWriters.sol; regenerate with 'pnpm semantic --update', then check the diff
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.addTotal(uint256)	StorageWriters.sol:Owned.opCount	always-checked	sender check `msg.sender == owner` runs on every completing execution	guaranteed	24
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.addTotal(uint256)	StorageWriters.sol:StorageWriters.total	always-checked	sender check `msg.sender == owner` runs on every completing execution	guaranteed	24
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.asmLetWrite(uint256)	*	assembly	reaches inline assembly that writes storage: statements about every execution are not guaranteed past this point	unknown	95
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.asmLetWrite(uint256)	StorageWriters.sol:StorageWriters.asmViaLet	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.asmLiteralWrite(uint256)	*	assembly	reaches inline assembly that writes storage: statements about every execution are not guaranteed past this point	unknown	83
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.asmLiteralWrite(uint256)	StorageWriters.sol:StorageWriters.asmLiteral	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.asmMappingWrite(address,uint256)	*	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.asmMappingWrite(address,uint256)	*	unknown-effect	inline assembly stores to slot `h`, which the rules could not tie to a variable	unknown	106
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.asmSlotRefWrite(uint256)	*	assembly	reaches inline assembly that writes storage: statements about every execution are not guaranteed past this point	unknown	89
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.asmSlotRefWrite(uint256)	StorageWriters.sol:StorageWriters.asmSlotRef	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.bumpLib()	StorageWriters.sol:StorageWriters.libData	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.bumpParam()	StorageWriters.sol:StorageWriters.paramData	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.doDelegate(address,bytes)	*	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.doDelegate(address,bytes)	*	unknown-effect	delegatecall `target.delegatecall(data)`: the callee runs with this contract's storage and may write anything	unknown	111
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.pointerWrite(uint256)	StorageWriters.sol:StorageWriters.ptrData	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
StorageWriters.sol:StorageWriters	StorageWriters.sol:StorageWriters.trackedWrite()	StorageWriters.sol:Owned.opCount	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
