# findings: reviewed rows for ClaimSemanticsPlayground.sol; regenerate with 'pnpm semantic --update', then check the diff
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.conditionalGuard(bool,uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	caller-selectable	sender check `msg.sender == owner` runs only inside `if (enforce)` with no else; `enforce` is a parameter of this function, so the caller decides whether the check runs	structural	26
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.deadWrite(uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	never-persists	the function always reverts before it can complete: this write never persists	guaranteed	68
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.guardAfterWrite(uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	always-checked	sender check `msg.sender == owner` runs on every completing execution	guaranteed	33
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.openOrOwner(uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	or-check	sender check `open || msg.sender == owner` runs on every completing execution, but the sender test is only one side of an OR	guaranteed	56
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.ownerDelegate(address,bytes)	*	always-checked	sender check `msg.sender == owner` runs on every completing execution	guaranteed	72
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.ownerDelegate(address,bytes)	*	unknown-effect	delegatecall `target.delegatecall(data)`: the callee runs with this contract's storage and may write anything	unknown	73
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.ownerOrGuardian(bool,uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	some-paths	sender check `msg.sender == guardian` runs only on some paths	heuristic	50
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.ownerOrGuardian(bool,uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	some-paths	sender check `msg.sender == owner` runs only on some paths	heuristic	48
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.ownerWrite(uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	always-checked	sender check `msg.sender == owner` runs on every completing execution	guaranteed	20
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.returnAfterWrite(uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	write-before-gate	early return on the sender `msg.sender != owner` comes after a statement that changes this variable: that change persists for any caller	structural	43
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.returnBeforeWrite(uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	gate-covers	early return on the sender `msg.sender != owner` runs on every completing execution, before every statement that can change this variable	guaranteed	37
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.setOpen(bool)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.open	always-checked	sender check `msg.sender == owner` runs on every completing execution	guaranteed	61
ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.unguardedWrite(uint256)	ClaimSemanticsPlayground.sol:ClaimSemanticsPlayground.value	no-check	no sender check found: no require/assert/if on msg.sender (or on a getter returning it) in the function, its modifiers, or anything it calls	heuristic	0
